id,train_code,from_station,to_station,path
1,020000G71403,佳木斯,大连北,../G/020000G71403.json
2,020000G77205,佳木斯,大连北,../G/020000G77205.json
3,020000G77502,双鸭山西,大连北,../G/020000G77502.json
4,02000G123906,双鸭山西,石家庄,../G/02000G123906.json
5,02000G364301,双鸭山西,北京朝阳,../G/02000G364301.json
6,030000G72401,七台河西,大连北,../G/030000G72401.json
7,030000G73201,七台河西,大连北,../G/030000G73201.json
8,030000G77000,鸡西西,大连北,../G/030000G77000.json
9,030000G77800,牡丹江,丹东,../G/030000G77800.json
10,030000G93600,七台河西,北京朝阳,../G/030000G93600.json
11,030000G94001,鸡西西,北京朝阳,../G/030000G94001.json
12,040000G72203,齐齐哈尔南,大连北,../G/040000G72203.json
13,040000G75400,大庆西,沈阳北,../G/040000G75400.json
14,040000G7660B,齐齐哈尔南,大连北,../G/040000G7660B.json
15,040000G76810,齐齐哈尔南,大连北,../G/040000G76810.json
16,040000G78205,齐齐哈尔南,丹东,../G/040000G78205.json
17,040000G78603,齐齐哈尔南,丹东,../G/040000G78603.json
18,040000G90401,齐齐哈尔南,北京朝阳,../G/040000G90401.json
19,040000G90800,齐齐哈尔南,北京朝阳,../G/040000G90800.json
20,040000G93401,齐齐哈尔南,北京朝阳,../G/040000G93401.json
21,04000G126210,齐齐哈尔,郑州东,../G/04000G126210.json
22,04000G263404,齐齐哈尔南,菏泽东,../G/04000G263404.json
23,0h00000G480C,哈尔滨西,大连北,../G/0h00000G480C.json
24,0h00000G5007,哈尔滨西,大连北,../G/0h00000G5007.json
25,0h0000G3740G,哈尔滨西,天津西,../G/0h0000G3740G.json
26,0h0000G39410,哈尔滨西,天津西,../G/0h0000G39410.json
27,0h0000G7020B,哈尔滨西,大连北,../G/0h0000G7020B.json
28,0h0000G7040C,哈尔滨西,大连北,../G/0h0000G7040C.json
29,0h0000G70809,哈尔滨西,大连北,../G/0h0000G70809.json
30,0h0000G71009,哈尔滨西,大连北,../G/0h0000G71009.json
31,0h0000G7120B,哈尔滨西,大连北,../G/0h0000G7120B.json
32,0h0000G72008,哈尔滨西,大连北,../G/0h0000G72008.json
33,0h0000G7280F,哈尔滨西,大连北,../G/0h0000G7280F.json
34,0h0000G73008,哈尔滨西,大连北,../G/0h0000G73008.json
35,0h0000G76407,哈尔滨西,盘锦,../G/0h0000G76407.json
36,0h0000G90205,哈尔滨西,北京,../G/0h0000G90205.json
37,0h0000G90601,哈尔滨西,北京朝阳,../G/0h0000G90601.json
38,0h0000G91000,哈尔滨西,北京朝阳,../G/0h0000G91000.json
39,0h0000G93001,哈尔滨西,北京朝阳,../G/0h0000G93001.json
40,0h0000G9320C,哈尔滨西,北京朝阳,../G/0h0000G9320C.json
41,0h0000G94600,哈尔滨西,北京朝阳,../G/0h0000G94600.json
42,0h0000G94800,哈尔滨西,北京朝阳,../G/0h0000G94800.json
43,0h0000G95000,哈尔滨西,北京朝阳,../G/0h0000G95000.json
44,0h0000G95200,哈尔滨西,北京朝阳,../G/0h0000G95200.json
45,0h000G12020H,哈尔滨西,上海虹桥,../G/0h000G12020H.json
46,0h000G12060Q,哈尔滨西,青岛北,../G/0h000G12060Q.json
47,0h000G12760D,哈尔滨西,武汉,../G/0h000G12760D.json
48,0h000G263800,哈尔滨西,运城北,../G/0h000G263800.json
49,0h000G264401,哈尔滨西,南京南,../G/0h000G264401.json
50,0h000G265603,哈尔滨西,南通,../G/0h000G265603.json
51,0h000G349204,哈尔滨西,襄阳东,../G/0h000G349204.json
52,110000G91200,长春,北京朝阳,../G/110000G91200.json
53,110000G95600,长春,北京朝阳,../G/110000G95600.json
54,110000G97201,长春,北京朝阳,../G/110000G97201.json
55,11000G80020C,长春,大连,../G/11000G80020C.json
56,11000G80060E,长春,大连,../G/11000G80060E.json
57,11000G80100D,长春,大连,../G/11000G80100D.json
58,11000G801210,长春,大连北,../G/11000G801210.json
59,11000G810409,长春,丹东,../G/11000G810409.json
60,120000G49810,沈阳南,北京,../G/120000G49810.json
61,120000G75520,沈阳北,大庆西,../G/120000G75520.json
62,120000G78002,丹东,牡丹江,../G/120000G78002.json
63,120000G7840C,丹东,齐齐哈尔南,../G/120000G7840C.json
64,120000G78807,丹东,齐齐哈尔南,../G/120000G78807.json
65,120000G92001,沈阳北,北京,../G/120000G92001.json
66,120000G92200,沈阳,北京朝阳,../G/120000G92200.json
67,120000G92400,沈阳,北京朝阳,../G/120000G92400.json
68,120000G92600,沈阳,北京朝阳,../G/120000G92600.json
69,120000G92800,沈阳,北京朝阳,../G/120000G92800.json
70,120000G97604,沈阳南,北京朝阳,../G/120000G97604.json
71,120000G97802,沈阳北,北京朝阳,../G/120000G97802.json
72,120000G98003,沈阳南,北京朝阳,../G/120000G98003.json
73,120000G9820D,沈阳北,北京朝阳,../G/120000G9820D.json
74,120000G98610,沈阳,北京朝阳,../G/120000G98610.json
75,120000G99010,沈阳北,北京朝阳,../G/120000G99010.json
76,12000G12180B,沈阳,长沙南,../G/12000G12180B.json
77,12000G12220G,沈阳北,宁波,../G/12000G12220G.json
78,12000G12260J,沈阳北,苍南,../G/12000G12260J.json
79,12000G12300I,丹东,上海虹桥,../G/12000G12300I.json
80,12000G124220,沈阳,济南西,../G/12000G124220.json
81,12000G124620,沈阳,青岛北,../G/12000G124620.json
82,12000G127230,沈阳南,福州南,../G/12000G127230.json
83,12000G12840M,沈阳北,成都东,../G/12000G12840M.json
84,12000G12880F,沈阳北,郑州东,../G/12000G12880F.json
85,12000G13000E,沈阳,石家庄,../G/12000G13000E.json
86,12000G260409,沈阳北,太原南,../G/12000G260409.json
87,12000G263007,沈阳,南通,../G/12000G263007.json
88,12000G265002,沈阳南,临沂北,../G/12000G265002.json
89,12000G26520A,沈阳北,荣成,../G/12000G26520A.json
90,12000G349802,沈阳,万州北,../G/12000G349802.json
91,12000G369201,丹东,北京朝阳,../G/12000G369201.json
92,12000G369403,丹东,北京朝阳,../G/12000G369403.json
93,12000G803309,沈阳北,吉林,../G/12000G803309.json
94,12000G80350A,沈阳南,延吉西,../G/12000G80350A.json
95,12000G80420D,沈阳北,大连北,../G/12000G80420D.json
96,12000G80460A,沈阳,大连,../G/12000G80460A.json
97,12000G80480A,沈阳北,大连,../G/12000G80480A.json
98,12000G80500A,沈阳北,大连,../G/12000G80500A.json
99,12000G80520G,沈阳,大连,../G/12000G80520G.json
100,12000G805407,沈阳,大连,../G/12000G805407.json
101,12000G80560C,沈阳,大连,../G/12000G80560C.json
102,12000G805809,沈阳,大连,../G/12000G805809.json
103,12000G80600F,沈阳北,大连,../G/12000G80600F.json
104,12000G80620U,沈阳,大连北,../G/12000G80620U.json
105,12000G80640O,沈阳,大连,../G/12000G80640O.json
106,12000G80660P,沈阳,大连,../G/12000G80660P.json
107,12000G806812,沈阳,大连北,../G/12000G806812.json
108,12000G80700D,沈阳北,大连北,../G/12000G80700D.json
109,12000G808207,沈阳,盘锦,../G/12000G808207.json
110,12000G81060B,丹东,吉林,../G/12000G81060B.json
111,13000G80070G,大连,吉林,../G/13000G80070G.json
112,13000G800901,大连,吉林,../G/13000G800901.json
113,13000G801104,大连,吉林,../G/13000G801104.json
114,13000G80130C,大连,吉林,../G/13000G80130C.json
115,13000G80170C,大连,吉林,../G/13000G80170C.json
116,13000G804103,大连,沈阳,../G/13000G804103.json
117,13000G80450D,大连,沈阳北,../G/13000G80450D.json
118,13000G804906,大连,沈阳,../G/13000G804906.json
119,13000G80510B,大连,沈阳,../G/13000G80510B.json
120,13000G80530C,大连,沈阳,../G/13000G80530C.json
121,13000G80550H,大连,沈阳北,../G/13000G80550H.json
122,13000G80570B,大连,沈阳,../G/13000G80570B.json
123,13000G80590G,大连,沈阳,../G/13000G80590G.json
124,13000G806101,大连,沈阳北,../G/13000G806101.json
125,13000G806503,大连,沈阳,../G/13000G806503.json
126,13000G806705,大连,沈阳北,../G/13000G806705.json
127,13000G812503,大连,珲春,../G/13000G812503.json
128,13000G81270C,大连,珲春,../G/13000G81270C.json
129,150000G7630E,盘锦,哈尔滨西,../G/150000G7630E.json
130,15000G808108,盘锦,沈阳北,../G/15000G808108.json
131,16000G365205,通辽,北京朝阳,../G/16000G365205.json
132,16000G365404,通辽,北京朝阳,../G/16000G365404.json
133,16000G36560D,通辽,北京朝阳,../G/16000G36560D.json
134,16000G366202,赤峰,北京朝阳,../G/16000G366202.json
135,16000G366408,赤峰,北京朝阳,../G/16000G366408.json
136,16000G36660H,赤峰,北京朝阳,../G/16000G36660H.json
137,16000G366802,赤峰,北京朝阳,../G/16000G366802.json
138,16000G367002,赤峰,北京朝阳,../G/16000G367002.json
139,16000G367203,赤峰,北京朝阳,../G/16000G367203.json
140,16000G367402,赤峰,北京朝阳,../G/16000G367402.json
141,16000G367602,赤峰,北京朝阳,../G/16000G367602.json
142,16000G367801,赤峰,北京朝阳,../G/16000G367801.json
143,16000G368001,赤峰,北京朝阳,../G/16000G368001.json
144,16000G814804,通辽,大连北,../G/16000G814804.json
145,180000G91601,吉林,北京,../G/180000G91601.json
146,180000G95800,吉林,北京朝阳,../G/180000G95800.json
147,180000G96001,吉林,北京朝阳,../G/180000G96001.json
148,180000G96801,吉林,北京朝阳,../G/180000G96801.json
149,18000G123405,吉林,上海虹桥,../G/18000G123405.json
150,18000G360100,长白山,北京朝阳,../G/18000G360100.json
151,18000G80040K,吉林,大连,../G/18000G80040K.json
152,18000G80080H,吉林,大连北,../G/18000G80080H.json
153,18000G80160B,吉林,大连北,../G/18000G80160B.json
154,18000G80180C,吉林,大连,../G/18000G80180C.json
155,18000G80200H,吉林,大连北,../G/18000G80200H.json
156,18000G80240H,吉林,大连北,../G/18000G80240H.json
157,18000G80320A,吉林,沈阳南,../G/18000G80320A.json
158,18000G803704,长白山,大连,../G/18000G803704.json
159,18000G810808,吉林,丹东,../G/18000G810808.json
160,1c000G12660A,延吉西,青岛北,../G/1c000G12660A.json
161,1c000G365002,珲春,北京朝阳,../G/1c000G365002.json
162,1c000G81260A,珲春,大连北,../G/1c000G81260A.json
163,1c000G81280G,珲春,大连,../G/1c000G81280G.json
164,1c000G813008,延吉西,大连北,../G/1c000G813008.json
165,1g00000G4707,大连北,哈尔滨西,../G/1g00000G4707.json
166,1g00000G4908,大连北,哈尔滨西,../G/1g00000G4908.json
167,1g0000G3890G,大连北,临沂北,../G/1g0000G3890G.json
168,1g0000G70108,大连北,哈尔滨西,../G/1g0000G70108.json
169,1g0000G70308,大连北,七台河西,../G/1g0000G70308.json
170,1g0000G7050F,大连北,哈尔滨西,../G/1g0000G7050F.json
171,1g0000G7070E,大连北,牡丹江,../G/1g0000G7070E.json
172,1g0000G7090B,大连北,哈尔滨西,../G/1g0000G7090B.json
173,1g0000G7110C,大连北,齐齐哈尔南,../G/1g0000G7110C.json
174,1g0000G71309,大连北,鸡西西,../G/1g0000G71309.json
175,1g0000G7170I,大连北,佳木斯,../G/1g0000G7170I.json
176,1g0000G7190A,大连北,哈尔滨西,../G/1g0000G7190A.json
177,1g0000G7210O,大连北,七台河西,../G/1g0000G7210O.json
178,1g0000G7250D,大连北,哈尔滨西,../G/1g0000G7250D.json
179,1g0000G7270J,大连北,哈尔滨西,../G/1g0000G7270J.json
180,1g0000G7290H,大连北,哈尔滨西,../G/1g0000G7290H.json
181,1g0000G7310G,大连北,哈尔滨西,../G/1g0000G7310G.json
182,1g0000G7650B,大连北,齐齐哈尔南,../G/1g0000G7650B.json
183,1g0000G76720,大连北,齐齐哈尔南,../G/1g0000G76720.json
184,1g0000G76905,大连北,哈尔滨西,../G/1g0000G76905.json
185,1g0000G77102,大连北,佳木斯,../G/1g0000G77102.json
186,1g0000G77303,大连北,双鸭山西,../G/1g0000G77303.json
187,1g0000G96400,长春西,北京朝阳,../G/1g0000G96400.json
188,1g0000G96601,长春西,北京朝阳,../G/1g0000G96601.json
189,1g0000G97401,长春西,北京朝阳,../G/1g0000G97401.json
190,1g000G121207,长春西,上海虹桥,../G/1g000G121207.json
191,1g000G125107,大连北,上海虹桥,../G/1g000G125107.json
192,1g000G125607,长春西,上海虹桥,../G/1g000G125607.json
193,1g000G129207,长春西,长沙南,../G/1g000G129207.json
194,1g000G12930D,大连北,西安北,../G/1g000G12930D.json
195,1g000G262201,长春西,杭州西,../G/1g000G262201.json
196,1g000G26250B,大连北,武汉,../G/1g000G26250B.json
