id,train_code,from_station,to_station,path
1,01000K101005,黑河,大连北,../K/01000K101005.json
2,01000K15280K,绥化,邯郸,../K/01000K15280K.json
3,01000K510105,哈尔滨东,同江,../K/01000K510105.json
4,01000K511303,哈尔滨东,同江,../K/01000K511303.json
5,01000K512350,哈尔滨东,鹤岗,../K/01000K512350.json
6,01000K51330F,哈尔滨东,黑河,../K/01000K51330F.json
7,01000K513507,哈尔滨,密山,../K/01000K513507.json
8,01000K513608,黑河,哈尔滨东,../K/01000K513608.json
9,01000K514302,哈尔滨东,齐齐哈尔,../K/01000K514302.json
10,01000K514703,哈尔滨东,伊春,../K/01000K514703.json
11,01000K515140,哈尔滨东,抚远,../K/01000K515140.json
12,01000K516600,海伦,哈尔滨,../K/01000K516600.json
13,01000K518010,哈尔滨东,五常,../K/01000K518010.json
14,01000K518107,五常,香坊,../K/01000K518107.json
15,01000K518203,香坊,五常,../K/01000K518203.json
16,01000K518330,五常,香坊,../K/01000K518330.json
17,01000K518402,香坊,五常,../K/01000K518402.json
18,01000K518503,五常,香坊,../K/01000K518503.json
19,01000K518620,香坊,五常,../K/01000K518620.json
20,01000K518703,五常,香坊,../K/01000K518703.json
21,01000K518820,香坊,五常,../K/01000K518820.json
22,01000K518960,五常,香坊,../K/01000K518960.json
23,01000K701790,哈尔滨东,绥化,../K/01000K701790.json
24,01000K701800,绥化,哈尔滨东,../K/01000K701800.json
25,01000K703139,哈尔滨东,黑河,../K/01000K703139.json
26,01000K70324A,黑河,哈尔滨东,../K/01000K70324A.json
27,01000K703431,黑河,哈尔滨,../K/01000K703431.json
28,01000K7035A6,哈尔滨,黑河,../K/01000K7035A6.json
29,01000K70380F,绥化,漠河,../K/01000K70380F.json
30,01000K70414D,哈尔滨,漠河,../K/01000K70414D.json
31,01000K70530T,哈尔滨东,龙镇,../K/01000K70530T.json
32,01000K70540N,龙镇,哈尔滨东,../K/01000K70540N.json
33,01000K70657E,哈尔滨,抚远,../K/01000K70657E.json
34,01000K70890M,哈尔滨,满洲里,../K/01000K70890M.json
35,01000K70910Z,哈尔滨,满洲里,../K/01000K70910Z.json
36,01000K709350,哈尔滨,满洲里,../K/01000K709350.json
37,01000K71030M,哈尔滨,加格达奇,../K/01000K71030M.json
38,01000K712101,哈尔滨东,齐齐哈尔,../K/01000K712101.json
