id,train_code,from_station,to_station,path
1,390000832305,固始,信阳,../P/390000832305.json
2,390000832402,信阳,固始,../P/390000832402.json
3,390000833105,淮滨,麻城,../P/390000833105.json
4,390000833206,麻城,淮滨,../P/390000833206.json
5,41000083510M,渭南,西安,../P/41000083510M.json
6,41000083520C,西安,渭南,../P/41000083520C.json
7,41000083530O,渭南,西安,../P/41000083530O.json
8,41000083540A,西安,渭南,../P/41000083540A.json
9,41000083590G,宝鸡,元龙,../P/41000083590G.json
10,43000083610N,汉中,略阳,../P/43000083610N.json
11,410000836305,略阳,汉中,../P/410000836305.json
12,41000083750S,西安,长武,../P/41000083750S.json
13,4i000083760S,长武,西安,../P/4i000083760S.json
14,33000068510I,包头东,乌海西,../P/33000068510I.json
15,33000068520J,乌海西,包头东,../P/33000068520J.json
16,33000068530D,包头东,白云鄂博,../P/33000068530D.json
17,33000068540D,白云鄂博,包头东,../P/33000068540D.json
18,33000068560L,呼和浩特,二连,../P/33000068560L.json
19,33000068580N,二连,呼和浩特,../P/33000068580N.json
20,330000685908,包头东,鄂尔多斯,../P/330000685908.json
21,3d0000686004,鄂尔多斯,包头东,../P/3d0000686004.json
22,39000060250D,麻城,九江,../P/39000060250D.json
23,57000060260I,九江,麻城,../P/57000060260I.json
24,260000604311,邯郸,长治北,../P/260000604311.json
25,38000060440D,长治北,邯郸,../P/38000060440D.json
26,270000604528,临汾,韩城,../P/270000604528.json
27,41000060460C,韩城,临汾,../P/41000060460C.json
28,28000060551Q,大同,包头,../P/28000060551Q.json
29,33000060560X,包头,大同,../P/33000060560X.json
30,410000606311,宝鸡,广元,../P/410000606311.json
31,760000606407,广元,宝鸡,../P/760000606407.json
32,430000606512,安康,达州,../P/430000606512.json
33,77000060660D,达州,安康,../P/77000060660D.json
34,760000606701,广元,兰州,../P/760000606701.json
35,850000606801,兰州,广元,../P/850000606801.json
36,41000060720N,宝鸡,平凉,../P/41000060720N.json
37,870000607405,平凉,宝鸡,../P/870000607405.json
38,78000060810Q,六盘水,威舍,../P/78000060810Q.json
39,800000608323,威舍,六盘水,../P/800000608323.json
40,040000620100,齐齐哈尔,北安,../P/040000620100.json
41,010000620201,北安,齐齐哈尔,../P/010000620201.json
42,010000620390,哈尔滨东,龙镇,../P/010000620390.json
43,010000620400,龙镇,哈尔滨东,../P/010000620400.json
44,010000620750,哈尔滨东,佳木斯,../P/010000620750.json
45,020000620801,佳木斯,哈尔滨东,../P/020000620801.json
46,010000621210,绥化,哈尔滨东,../P/010000621210.json
47,02000062150R,桦南,佳木斯,../P/02000062150R.json
48,02000062160N,佳木斯,桦南,../P/02000062160N.json
49,03000062231L,牡丹江,东方红,../P/03000062231L.json
50,03000062242C,东方红,牡丹江,../P/03000062242C.json
51,05000062380N,海拉尔,塔尔气,../P/05000062380N.json
52,05000062400O,塔尔气,海拉尔,../P/05000062400O.json
53,040000624533,加格达奇,古莲,../P/040000624533.json
54,040000624632,古莲,加格达奇,../P/040000624632.json
55,04000062590E,齐齐哈尔,三间房,../P/04000062590E.json
56,02000062720Y,佳木斯,乌伊岭,../P/02000062720Y.json
57,020000627414,乌伊岭,佳木斯,../P/020000627414.json
58,04000062790O,三间房,齐齐哈尔,../P/04000062790O.json
59,04000062800O,齐齐哈尔,三间房,../P/04000062800O.json
60,01000062810G,五常,香坊,../P/01000062810G.json
61,010000628209,香坊,五常,../P/010000628209.json
62,01000062830B,五常,香坊,../P/01000062830B.json
63,01000062840B,香坊,五常,../P/01000062840B.json
64,03000062860K,牡丹江,长汀镇,../P/03000062860K.json
65,03000062880G,长汀镇,牡丹江,../P/03000062880G.json
66,040000629101,大兴,富拉尔基,../P/040000629101.json
67,040000629201,齐齐哈尔,大兴,../P/040000629201.json
68,040000629301,三间房,富拉尔基,../P/040000629301.json
69,040000629403,富拉尔基,汤池,../P/040000629403.json
70,040000629501,汤池,齐齐哈尔,../P/040000629501.json
71,24000064190Z,通州西,承德,../P/24000064190Z.json
72,24000064200W,承德,通州西,../P/24000064200W.json
73,26000064230M,邯郸,潞城,../P/26000064230M.json
74,26000064240G,潞城,邯郸,../P/26000064240G.json
75,24000064330Q,兴隆县,承德,../P/24000064330Q.json
76,24000064340O,承德,兴隆县,../P/24000064340O.json
77,24000064350G,承德,平泉,../P/24000064350G.json
78,24000064360I,平泉,承德,../P/24000064360I.json
79,24000064370M,北京西,大涧,../P/24000064370M.json
80,24000064380G,大涧,北京西,../P/24000064380G.json
81,24000064550F,承德,平泉,../P/24000064550F.json
82,24000064560E,平泉,承德,../P/24000064560E.json
83,020000401600,佳木斯,桦南,../P/020000401600.json
84,020000401706,桦南,佳木斯,../P/020000401706.json
85,020000401808,佳木斯,桦南,../P/020000401808.json
86,020000401900,桦南,佳木斯,../P/020000401900.json
87,040000404505,齐齐哈尔,加格达奇,../P/040000404505.json
88,040000404608,加格达奇,齐齐哈尔,../P/040000404608.json
89,030000405107,牡丹江,鸡西,../P/030000405107.json
90,030000405207,鸡西,牡丹江,../P/030000405207.json
91,010000405303,哈尔滨东,绥化,../P/010000405303.json
92,010000405402,绥化,哈尔滨东,../P/010000405402.json
93,030000406101,东京城,牡丹江,../P/030000406101.json
94,030000406200,牡丹江,东京城,../P/030000406200.json
95,030000406300,东京城,牡丹江,../P/030000406300.json
96,030000406400,牡丹江,东京城,../P/030000406400.json
97,030000406500,东京城,牡丹江,../P/030000406500.json
98,030000406600,牡丹江,东京城,../P/030000406600.json
99,030000406700,东京城,牡丹江,../P/030000406700.json
100,030000406800,牡丹江,东京城,../P/030000406800.json
101,030000406900,斗沟子,牡丹江,../P/030000406900.json
102,030000407000,牡丹江,斗沟子,../P/030000407000.json
103,030000407100,东京城,牡丹江,../P/030000407100.json
104,030000407200,牡丹江,东京城,../P/030000407200.json
105,030000407300,东京城,牡丹江,../P/030000407300.json
106,030000407400,牡丹江,东京城,../P/030000407400.json
107,04000040810O,齐齐哈尔,北安,../P/04000040810O.json
108,01000040820E,北安,齐齐哈尔,../P/01000040820E.json
109,04000040850G,泰来,齐齐哈尔,../P/04000040850G.json
110,04000040860K,齐齐哈尔,泰来,../P/04000040860K.json
111,04000040950X,三间房,齐齐哈尔,../P/04000040950X.json
112,05000041680C,莫尔道嘎,海拉尔,../P/05000041680C.json
113,050000417009,海拉尔,莫尔道嘎,../P/050000417009.json
