id,train_code,from_station,to_station,path
1,1200000Z1210,沈阳北,广州,../Z/1200000Z1210.json
2,630000Z12230,广州,成都东,../Z/630000Z12230.json
3,760000Z1240C,成都东,广州,../Z/760000Z1240C.json
4,5n0000Z1260C,厦门北,兰州,../Z/5n0000Z1260C.json
5,850000Z12822,兰州,厦门北,../Z/850000Z12822.json
6,240000Z12905,北京西,兰州,../Z/240000Z12905.json
7,24000000Z10K,北京西,长沙,../Z/24000000Z10K.json
8,6300000Z1400,广州,沈阳北,../Z/6300000Z1400.json
9,2400000Z150E,北京,哈尔滨,../Z/2400000Z150E.json
10,0100000Z1630,哈尔滨,北京,../Z/0100000Z1630.json
11,2400000Z170H,北京,哈尔滨西,../Z/2400000Z170H.json
12,0h00000Z1809,哈尔滨西,北京,../Z/0h00000Z1809.json
13,2400000Z190K,北京西,西安,../Z/2400000Z190K.json
14,650000Z1000A,广州东,上海,../Z/650000Z1000A.json
15,110000Z1020C,长春,厦门北,../Z/110000Z1020C.json
16,5n0000Z10409,厦门北,长春,../Z/5n0000Z10409.json
17,470000Z1050C,济南,乌鲁木齐,../Z/470000Z1050C.json
18,6b0000Z1120K,海口,哈尔滨西,../Z/6b0000Z1120K.json
19,0h0000Z1140G,哈尔滨西,海口,../Z/0h0000Z1140G.json
20,240000Z1170H,北京,吉林,../Z/240000Z1170H.json
21,180000Z1180B,吉林,北京,../Z/180000Z1180B.json
22,850000Z13001,兰州,北京西,../Z/850000Z13001.json
23,630000Z1380F,广州,乌鲁木齐,../Z/630000Z1380F.json
24,380000Z1460A,郑州,深圳东,../Z/380000Z1460A.json
25,650000Z14807,深圳东,郑州,../Z/650000Z14807.json
26,240000Z1490L,北京西,贵阳,../Z/240000Z1490L.json
27,780000Z15007,贵阳,北京西,../Z/780000Z15007.json
28,240000Z1510P,北京西,西宁,../Z/240000Z1510P.json
29,880000Z15209,西宁,北京西,../Z/880000Z15209.json
30,5f0000Z15740,泰州,哈尔滨西,../Z/5f0000Z15740.json
31,0h0000Z15808,哈尔滨西,泰州,../Z/0h0000Z15808.json
32,240000Z15909,北京,日照西,../Z/240000Z15909.json
33,470000Z16006,日照西,北京,../Z/470000Z16006.json
34,240000Z1611V,北京西,昆明,../Z/240000Z1611V.json
35,800000Z1620H,昆明,北京西,../Z/800000Z1620H.json
36,550000Z16404,上海,拉萨,../Z/550000Z16404.json
37,880000Z16609,拉萨,上海,../Z/880000Z16609.json
38,630000Z16801,广州,青岛北,../Z/630000Z16801.json
39,490000Z17008,青岛北,广州,../Z/490000Z17008.json
40,550000Z17200,上海,哈尔滨西,../Z/550000Z17200.json
41,0h0000Z1740E,哈尔滨西,上海,../Z/0h0000Z1740E.json
42,560000Z17607,杭州,哈尔滨西,../Z/560000Z17607.json
43,0h0000Z1780G,哈尔滨西,杭州,../Z/0h0000Z1780G.json
44,240000Z17931,北京西,乌鲁木齐,../Z/240000Z17931.json
45,650000Z1820J,深圳东,包头,../Z/650000Z1820J.json
46,330000Z1840V,临河,深圳东,../Z/330000Z1840V.json
47,650000Z1860E,深圳东,沈阳北,../Z/650000Z1860E.json
48,120000Z1880H,沈阳北,深圳东,../Z/120000Z1880H.json
49,380000Z18909,郑州,广州,../Z/380000Z18909.json
50,630000Z19004,广州,郑州,../Z/630000Z19004.json
51,270000Z1920B,太原,沈阳北,../Z/270000Z1920B.json
52,120000Z1940C,沈阳北,太原,../Z/120000Z1940C.json
53,550000Z19606,上海,太原,../Z/550000Z19606.json
54,270000Z19807,太原,上海,../Z/270000Z19807.json
55,760000Z39002,成都西,福州,../Z/760000Z39002.json
56,580000Z3920D,福州,成都西,../Z/580000Z3920D.json
57,62000000Z206,长沙,北京西,../Z/62000000Z206.json
58,4100000Z200O,西安,北京西,../Z/4100000Z200O.json
59,2400000Z210Q,北京西,拉萨,../Z/2400000Z210Q.json
60,8800000Z2207,拉萨,北京西,../Z/8800000Z2207.json
61,3900000Z2309,武昌,深圳,../Z/3900000Z2309.json
62,6500000Z240C,深圳,武昌,../Z/6500000Z240C.json
63,3900000Z2508,武昌,上海南,../Z/3900000Z2508.json
64,5500000Z2706,上海南,武昌,../Z/5500000Z2706.json
65,2400000Z2900,北京,南通,../Z/2400000Z2900.json
66,240000Z2030P,北京,哈尔滨,../Z/240000Z2030P.json
67,010000Z2040E,哈尔滨,北京,../Z/010000Z2040E.json
68,250000Z2060B,天津,长沙,../Z/250000Z2060B.json
69,620000Z20807,长沙,天津,../Z/620000Z20807.json
70,240000Z21104,北京,长春,../Z/240000Z21104.json
71,110000Z21202,长春,北京,../Z/110000Z21202.json
72,550000Z21606,上海,兰州,../Z/550000Z21606.json
73,850000Z21842,兰州,上海,../Z/850000Z21842.json
74,880000Z22405,拉萨,重庆西,../Z/880000Z22405.json
