id,train_code,from_station,to_station,path
1,800000C30105,昆明南,西双版纳,../C/800000C30105.json
2,840000C30205,西双版纳,昆明南,../C/840000C30205.json
3,800000C30306,昆明南,西双版纳,../C/800000C30306.json
4,800000C30502,昆明南,西双版纳,../C/800000C30502.json
5,840000C30608,西双版纳,昆明南,../C/840000C30608.json
6,840000C30804,西双版纳,昆明南,../C/840000C30804.json
7,840000C31020,西双版纳,昆明南,../C/840000C31020.json
8,800000C31106,昆明南,西双版纳,../C/800000C31106.json
9,840000C31203,西双版纳,昆明南,../C/840000C31203.json
10,800000C31304,昆明南,西双版纳,../C/800000C31304.json
11,800000C31510,昆明南,西双版纳,../C/800000C31510.json
12,840000C31603,西双版纳,昆明南,../C/840000C31603.json
13,800000C31704,昆明南,西双版纳,../C/800000C31704.json
14,800000C31903,昆明南,西双版纳,../C/800000C31903.json
15,800000C32104,昆明南,西双版纳,../C/800000C32104.json
16,840000C32202,西双版纳,昆明南,../C/840000C32202.json
17,840000C33206,普洱,昆明,../C/840000C33206.json
18,800000C33405,昆明,普洱,../C/800000C33405.json
19,840000C33604,普洱,昆明,../C/840000C33604.json
20,800000C33804,昆明,普洱,../C/800000C33804.json
21,800000C34001,昆明,保山,../C/800000C34001.json
22,8c0000C34201,保山,昆明,../C/8c0000C34201.json
23,800000C34402,昆明,保山,../C/800000C34402.json
24,8c0000C34602,保山,昆明,../C/8c0000C34602.json
25,800000C34804,昆明,保山,../C/800000C34804.json
26,8c0000C35003,保山,昆明,../C/8c0000C35003.json
27,840000C35206,普洱,昆明南,../C/840000C35206.json
28,800000C35602,昆明,保山,../C/800000C35602.json
29,8c0000C35802,保山,昆明,../C/8c0000C35802.json
30,8c0000C37210,保山,丽江,../C/8c0000C37210.json
31,8c0000C37404,丽江,保山,../C/8c0000C37404.json
32,8c0000C37601,保山,丽江,../C/8c0000C37601.json
33,8c0000C37807,丽江,保山,../C/8c0000C37807.json
34,8c0000C37902,大理,丽江,../C/8c0000C37902.json
35,8c0000C38010,香格里拉,大理,../C/8c0000C38010.json
36,840000C38206,磨憨,昆明南,../C/840000C38206.json
37,800000C3840D,昆明,磨憨,../C/800000C3840D.json
38,800000C38506,昆明南,磨憨,../C/800000C38506.json
39,840000C3860C,磨憨,昆明,../C/840000C3860C.json
40,840000C38800,磨憨,普洱,../C/840000C38800.json
41,840000C38903,西双版纳,磨憨,../C/840000C38903.json
42,840000C39204,西双版纳,普洱,../C/840000C39204.json
43,840000C39304,普洱,西双版纳,../C/840000C39304.json
44,8c0000C39801,丽江,大理,../C/8c0000C39801.json
45,8c0000C39900,大理,丽江,../C/8c0000C39900.json
46,5l000C310101,徐州东,南京,../C/5l000C310101.json
47,54000C310320,南京,赣榆,../C/54000C310320.json
48,48000C310510,赣榆,南京南,../C/48000C310510.json
49,54000C310702,南京,徐州东,../C/54000C310702.json
50,54000C311103,南京,徐州东,../C/54000C311103.json
51,5l000C311309,徐州东,南京,../C/5l000C311309.json
52,54000C311908,南京,徐州东,../C/54000C311908.json
53,54000C312302,南京,连云港,../C/54000C312302.json
54,48000C312501,连云港,南京,../C/48000C312501.json
55,54000C312702,南京,连云港,../C/54000C312702.json
56,48000C312910,连云港,南京,../C/48000C312910.json
57,54000C313102,南京,连云港,../C/54000C313102.json
58,48000C313310,赣榆,南京,../C/48000C313310.json
59,54000C313501,南京,连云港,../C/54000C313501.json
