id,train_code,from_station,to_station,path
1,8d000D891210,兰州西,天水南,../D/8d000D891210.json
2,8d000D891310,天水南,兰州西,../D/8d000D891310.json
3,8d000D891410,兰州西,天水南,../D/8d000D891410.json
4,8d000D891512,天水南,兰州西,../D/8d000D891512.json
5,8d000D891601,兰州西,天水南,../D/8d000D891601.json
6,8d000D891710,天水南,兰州西,../D/8d000D891710.json
7,8d000D891810,兰州西,天水南,../D/8d000D891810.json
8,8d000D892302,天水南,兰州西,../D/8d000D892302.json
9,8d000D892403,兰州西,天水南,../D/8d000D892403.json
10,8d000D892500,天水南,兰州西,../D/8d000D892500.json
11,8d000D893102,兰州西,银川,../D/8d000D893102.json
12,87000D893301,银川,兰州西,../D/87000D893301.json
13,8d000D893510,兰州西,银川,../D/8d000D893510.json
14,87000D893711,银川,兰州,../D/87000D893711.json
15,8d000D893902,兰州西,银川,../D/8d000D893902.json
16,87000D894120,银川,兰州西,../D/87000D894120.json
17,85000D894300,兰州,银川,../D/85000D894300.json
18,87000D894500,银川,兰州,../D/87000D894500.json
19,88000D897101,西宁,门源,../D/88000D897101.json
20,88000D897201,门源,西宁,../D/88000D897201.json
21,88000D897301,西宁,门源,../D/88000D897301.json
22,88000D897401,门源,西宁,../D/88000D897401.json
23,88000D897501,西宁,门源,../D/88000D897501.json
24,88000D897601,门源,西宁,../D/88000D897601.json
25,88000D897701,西宁,门源,../D/88000D897701.json
26,88000D897801,门源,西宁,../D/88000D897801.json
27,88000D897901,西宁,门源,../D/88000D897901.json
28,88000D898001,门源,西宁,../D/88000D898001.json
29,580000D76006,福州,北京丰台,../D/580000D76006.json
30,850000D76203,兰州,成都东,../D/850000D76203.json
31,760000D76405,成都东,兰州,../D/760000D76405.json
32,880000D76606,西宁,成都东,../D/880000D76606.json
33,760000D76806,成都东,西宁,../D/760000D76806.json
34,12000D76030C,沈阳,丹东,../D/12000D76030C.json
35,12000D760406,丹东,沈阳,../D/12000D760406.json
36,12000D760609,丹东,沈阳,../D/12000D760609.json
37,12000D760706,沈阳,丹东,../D/12000D760706.json
38,12000D761007,丹东,沈阳北,../D/12000D761007.json
39,12000D761107,沈阳,丹东,../D/12000D761107.json
40,12000D761207,丹东,沈阳,../D/12000D761207.json
41,12000D761307,沈阳北,丹东,../D/12000D761307.json
42,12000D76150A,沈阳,丹东,../D/12000D76150A.json
43,12000D76160E,丹东,沈阳,../D/12000D76160E.json
44,12000D761904,沈阳北,丹东,../D/12000D761904.json
45,12000D762006,丹东,沈阳,../D/12000D762006.json
46,12000D762307,沈阳,丹东,../D/12000D762307.json
47,12000D762406,丹东,沈阳北,../D/12000D762406.json
48,12000D762509,沈阳,丹东,../D/12000D762509.json
49,12000D762720,沈阳,丹东,../D/12000D762720.json
50,12000D762820,丹东,沈阳,../D/12000D762820.json
51,12000D762909,沈阳,丹东,../D/12000D762909.json
52,12000D76300A,丹东,沈阳,../D/12000D76300A.json
53,12000D763105,沈阳,丹东,../D/12000D763105.json
54,12000D763208,丹东,沈阳,../D/12000D763208.json
55,12000D763306,沈阳北,丹东,../D/12000D763306.json
56,12000D76380G,丹东,沈阳北,../D/12000D76380G.json
57,12000D764020,丹东,沈阳北,../D/12000D764020.json
58,12000D765122,沈阳,丹东,../D/12000D765122.json
59,12000D76520O,丹东,沈阳,../D/12000D76520O.json
60,12000D76670D,沈阳,丹东,../D/12000D76670D.json
61,12000D76680F,丹东,沈阳,../D/12000D76680F.json
62,12000D766910,沈阳,丹东,../D/12000D766910.json
63,12000D767010,丹东,沈阳,../D/12000D767010.json
64,12000D767206,本溪,沈阳,../D/12000D767206.json
65,760000D62002,成都东,武汉,../D/760000D62002.json
66,390000D6290E,汉口,重庆北,../D/390000D6290E.json
67,58000D62020R,厦门,福州,../D/58000D62020R.json
68,58000D62070R,福州,厦门,../D/58000D62070R.json
69,58000D62080T,厦门,福州,../D/58000D62080T.json
70,58000D62120X,厦门,福州,../D/58000D62120X.json
71,58000D621313,福州,厦门北,../D/58000D621313.json
72,58000D62140Y,厦门,福州,../D/58000D62140Y.json
73,5n000D62180V,诏安,福州,../D/5n000D62180V.json
74,58000D62190X,福州,厦门,../D/58000D62190X.json
75,58000D622114,福州,诏安,../D/58000D622114.json
76,58000D62240Y,厦门,福州,../D/58000D62240Y.json
77,58000D62280S,厦门,福州南,../D/58000D62280S.json
78,58000D622913,福州,厦门,../D/58000D622913.json
79,58000D623310,福州,厦门,../D/58000D623310.json
80,5y000D62410H,南平市,厦门,../D/5y000D62410H.json
81,58000D62420T,厦门,南平市,../D/58000D62420T.json
82,57000D625107,景德镇北,南昌,../D/57000D625107.json
83,5u000D625402,南昌西,景德镇北,../D/5u000D625402.json
84,57000D62550A,景德镇北,南昌西,../D/57000D62550A.json
85,57000D625610,南昌,婺源,../D/57000D625610.json
86,5y000D625700,婺源,南昌,../D/5y000D625700.json
87,5u000D62580H,南昌西,景德镇北,../D/5u000D62580H.json
88,57000D62600B,南昌,景德镇北,../D/57000D62600B.json
89,5y000D62630F,婺源,南昌,../D/5y000D62630F.json
90,57000D626408,南昌,婺源,../D/57000D626408.json
91,57000D62660C,南昌,南 昌,../D/57000D62660C.json
92,57000D626808,南昌,南 昌,../D/57000D626808.json
93,5n000D627304,福州南,平潭,../D/5n000D627304.json
94,4z000D627402,平潭,福州,../D/4z000D627402.json
95,4z000D627805,平潭,福州,../D/4z000D627805.json
96,58000D628104,福州,平潭,../D/58000D628104.json
97,58000D629608,厦门,平潭,../D/58000D629608.json
98,4z000D629806,平潭,厦门,../D/4z000D629806.json
99,770000D6300C,重庆北,汉口,../D/770000D6300C.json
100,390000D63303,汉口,成都东,../D/390000D63303.json
101,760000D6340G,成都东,汉口,../D/760000D6340G.json
102,5l0000D63680,上海虹桥,成都东,../D/5l0000D63680.json
103,760000D6380F,成都东,上海虹桥,../D/760000D6380F.json
104,58000D63120F,福州,福  州,../D/58000D63120F.json
105,58000D63180G,厦门,厦 门,../D/58000D63180G.json
106,5n000D63230B,福鼎,龙岩,../D/5n000D63230B.json
107,5c000D632407,龙岩,福鼎,../D/5c000D632407.json
108,5n000D632510,福鼎,福州,../D/5n000D632510.json
109,5n000D632910,福鼎,厦门,../D/5n000D632910.json
110,58000D63300G,福州,福鼎,../D/58000D63300G.json
111,5n000D63330R,福鼎,厦门,../D/5n000D63330R.json
112,5n000D63350P,福鼎,厦门,../D/5n000D63350P.json
113,58000D63360S,福州,福鼎,../D/58000D63360S.json
114,58000D63380T,厦门,福鼎,../D/58000D63380T.json
115,57000D63440O,南昌,九江,../D/57000D63440O.json
116,57000D63520L,南昌,九江,../D/57000D63520L.json
117,57000D63530K,九江,南昌,../D/57000D63530K.json
118,5n000D63810X,福鼎,龙岩,../D/5n000D63810X.json
119,5c000D638311,龙岩,福鼎,../D/5c000D638311.json
120,550000D77130,上海南,九江,../D/550000D77130.json
121,570000D7720D,九江,上海南,../D/570000D7720D.json
122,770000D77401,达州,西安,../D/770000D77401.json
123,410000D77602,西安,达州,../D/410000D77602.json
124,330000D77706,呼和浩特东,西安,../D/330000D77706.json
125,410000D77805,西安,呼和浩特东,../D/410000D77805.json
126,3d0000D77906,鄂尔多斯,西安,../D/3d0000D77906.json
127,1n000D772406,庄河北,大连,../D/1n000D772406.json
128,12000D773130,沈阳,大连北,../D/12000D773130.json
129,1g000D773310,大连北,沈阳,../D/1g000D773310.json
130,1g000D77370E,大连北,沈阳,../D/1g000D77370E.json
131,13000D77410F,大连,沈阳,../D/13000D77410F.json
132,12000D77420B,丹东,大连,../D/12000D77420B.json
133,12000D77430E,沈阳,大连北,../D/12000D77430E.json
134,12000D77470D,沈阳,大连,../D/12000D77470D.json
135,1g000D77490H,大连北,沈阳,../D/1g000D77490H.json
136,12000D77510E,沈阳,大连,../D/12000D77510E.json
137,13000D775308,大连,丹东,../D/13000D775308.json
138,12000D77550B,沈阳,大连,../D/12000D77550B.json
139,13000D775705,大连,沈阳,../D/13000D775705.json
140,1k000D776103,辽宁朝阳,沈阳,../D/1k000D776103.json
141,12000D776202,沈阳,锦州北,../D/12000D776202.json
142,15000D776306,锦州北,沈阳,../D/15000D776306.json
143,12000D776403,沈阳,锦州北,../D/12000D776403.json
144,16000D776604,赤峰,沈阳,../D/16000D776604.json
145,1g000D776802,鞍山西,赤峰,../D/1g000D776802.json
146,12000D778810,沈阳南,赤峰,../D/12000D778810.json
147,1g000D77910C,大连北,赤峰,../D/1g000D77910C.json
148,16000D77920C,赤峰,大连北,../D/16000D77920C.json
149,1g000D779504,大连北,赤峰,../D/1g000D779504.json
150,16000D779605,赤峰,大连北,../D/16000D779605.json
151,800000D88701,昆明南,万象,../D/800000D88701.json
152,8L0000D88801,万象,昆明南,../D/8L0000D88801.json
153,92000D88010M,哈密,乌鲁木齐,../D/92000D88010M.json
154,93000D88020B,乌鲁木齐,哈密,../D/93000D88020B.json
155,92000D880305,哈密,乌鲁木齐,../D/92000D880305.json
156,93000D88040H,乌鲁木齐,哈密,../D/93000D88040H.json
157,92000D88050I,哈密,乌鲁木齐,../D/92000D88050I.json
158,93000D880606,乌鲁木齐,哈密,../D/93000D880606.json
159,92000D880706,哈密,乌鲁木齐,../D/92000D880706.json
160,93000D88080C,乌鲁木齐,哈密,../D/93000D88080C.json
161,92000D88110A,哈密,乌鲁木齐,../D/92000D88110A.json
162,93000D88120R,乌鲁木齐,哈密,../D/93000D88120R.json
163,92000D881309,哈密,乌鲁木齐,../D/92000D881309.json
164,8d000D888102,兰州西,庆阳,../D/8d000D888102.json
165,4t000D888301,庆阳,兰州西,../D/4t000D888301.json
166,8d000D888510,兰州西,银川,../D/8d000D888510.json
167,4u000D888701,中卫南,兰州西,../D/4u000D888701.json
168,4e0000D61805,武汉,成都东,../D/4e0000D61805.json
169,77000D610106,石柱县,重庆北,../D/77000D610106.json
170,77000D610302,石柱县,重庆北,../D/77000D610302.json
171,77000D610406,重庆北,石柱县,../D/77000D610406.json
172,77000D610504,涪陵北,重庆北,../D/77000D610504.json
173,77000D610604,重庆北,涪陵北,../D/77000D610604.json
174,77000D610720,丰都,重庆北,../D/77000D610720.json
175,77000D610820,重庆北,丰都,../D/77000D610820.json
176,77000D610907,丰都,重庆北,../D/77000D610907.json
177,77000D61100A,重庆北,丰都,../D/77000D61100A.json
178,77000D611301,丰都,重庆北,../D/77000D611301.json
179,77000D611601,重庆北,丰都,../D/77000D611601.json
180,77000D611903,涪陵北,重庆北,../D/77000D611903.json
181,77000D612020,重庆北,涪陵北,../D/77000D612020.json
182,77000D612130,涪陵北,重庆北,../D/77000D612130.json
183,77000D612220,重庆北,涪陵北,../D/77000D612220.json
184,77000D612306,石柱县,重庆北,../D/77000D612306.json
185,77000D612405,重庆北,石柱县,../D/77000D612405.json
186,77000D612500,石柱县,重庆北,../D/77000D612500.json
187,77000D612601,重庆北,石柱县,../D/77000D612601.json
188,77000D612720,长寿北,重庆北,../D/77000D612720.json
189,77000D612800,重庆北,长寿北,../D/77000D612800.json
190,77000D613110,长寿北,重庆北,../D/77000D613110.json
191,77000D613200,重庆北,长寿北,../D/77000D613200.json
192,77000D613304,黄水,重庆北,../D/77000D613304.json
193,77000D613404,重庆北,黄水,../D/77000D613404.json
194,77000D613501,石柱县,重庆北,../D/77000D613501.json
195,77000D613601,重庆北,石柱县,../D/77000D613601.json
196,77000D614104,黄水,重庆北,../D/77000D614104.json
197,77000D614204,重庆北,黄水,../D/77000D614204.json
198,77000D614301,黄水,重庆北,../D/77000D614301.json
199,77000D614403,重庆北,黄水,../D/77000D614403.json
200,77000D614507,黄水,重庆北,../D/77000D614507.json
201,77000D614602,重庆北,黄水,../D/77000D614602.json
202,77000D614701,黄水,重庆北,../D/77000D614701.json
203,77000D614800,重庆北,黄水,../D/77000D614800.json
204,78000D616501,毕节,荔波,../D/78000D616501.json
205,78000D616600,荔波,毕节,../D/78000D616600.json
206,78000D616700,毕节,荔波,../D/78000D616700.json
207,78000D616800,荔波,毕节,../D/78000D616800.json
208,78000D616900,毕节,荔波,../D/78000D616900.json
209,78000D617100,贵阳北,荔波,../D/78000D617100.json
210,78000D617210,荔波,贵阳北,../D/78000D617210.json
211,78000D617301,贵阳北,荔波,../D/78000D617301.json
212,78000D617401,荔波,贵阳北,../D/78000D617401.json
213,77000D619102,重庆北,雅安,../D/77000D619102.json
214,76000D619207,雅安,重庆北,../D/76000D619207.json
215,77000D619504,重庆北,邛崃,../D/77000D619504.json
216,76000D619604,邛崃,重庆北,../D/76000D619604.json
217,770000D75103,重庆北,兰州,../D/770000D75103.json
218,8d0000D75202,兰州西,重庆北,../D/8d0000D75202.json
219,770000D75303,重庆北,兰州,../D/770000D75303.json
220,850000D75403,兰州,重庆北,../D/850000D75403.json
221,770000D75506,重庆北,西宁,../D/770000D75506.json
222,880000D75605,西宁,重庆北,../D/880000D75605.json
223,240000D75908,北京丰台,福州,../D/240000D75908.json
224,6c000D755506,广州南,湛江西,../D/6c000D755506.json
225,6c000D755706,广州南,江门,../D/6c000D755706.json
226,6y000D755806,江门,广州南,../D/6y000D755806.json
227,6c000D755909,广州南,江门,../D/6c000D755909.json
228,6y000D756001,江门,广州南,../D/6y000D756001.json
229,6c000D756301,广州南,珠海,../D/6c000D756301.json
230,570000D74000,赣州,北京丰台,../D/570000D74000.json
231,240000D74508,北京丰台,厦门北,../D/240000D74508.json
232,5n0000D74608,厦门北,北京丰台,../D/5n0000D74608.json
233,6i000D74020D,深圳北,潮汕,../D/6i000D74020D.json
234,6i000D74040H,深圳北,潮汕,../D/6i000D74040H.json
235,6i000D74120H,深圳北,潮汕,../D/6i000D74120H.json
236,67000D741403,汕头,深圳北,../D/67000D741403.json
237,6i000D74160J,深圳北,汕头,../D/6i000D74160J.json
238,6j000D74230K,潮汕,深圳北,../D/6j000D74230K.json
239,6i000D74240M,深圳北,潮汕,../D/6i000D74240M.json
240,6l000D742901,惠州北,潮汕,../D/6l000D742901.json
241,67000D74300D,汕头,惠州北,../D/67000D74300D.json
242,6i000D744003,深圳北,汕头,../D/6i000D744003.json
243,64000D745101,张家界西,长沙,../D/64000D745101.json
244,62000D745201,长沙,张家界西,../D/62000D745201.json
245,64000D745301,张家界西,长沙,../D/64000D745301.json
246,62000D745401,长沙,张家界西,../D/62000D745401.json
247,64000D745502,张家界西,长沙,../D/64000D745502.json
248,62000D745601,长沙,张家界西,../D/62000D745601.json
249,64000D745701,张家界西,长沙,../D/64000D745701.json
250,62000D745803,长沙,张家界西,../D/62000D745803.json
251,64000D745901,张家界西,长沙,../D/64000D745901.json
252,62000D746001,长沙,张家界西,../D/62000D746001.json
253,64000D746101,张家界西,株洲南,../D/64000D746101.json
254,62000D746202,长沙,张家界西,../D/62000D746202.json
255,64000D746301,咸丰,长沙,../D/64000D746301.json
256,6n000D746401,株洲南,咸丰,../D/6n000D746401.json
257,64000D746502,张家界西,长沙,../D/64000D746502.json
258,62000D746601,长沙,张家界西,../D/62000D746601.json
259,64000D746701,张家界西,长沙,../D/64000D746701.json
260,62000D746801,长沙,张家界西,../D/62000D746801.json
261,64000D746901,张家界西,长沙,../D/64000D746901.json
262,62000D747001,长沙,张家界西,../D/62000D747001.json
263,64000D747101,龙山北,长沙,../D/64000D747101.json
264,62000D747201,长沙,龙山北,../D/62000D747201.json
265,6a000D747300,常德,长沙,../D/6a000D747300.json
266,62000D747401,长沙,常德,../D/62000D747401.json
267,64000D747501,张家界西,长沙,../D/64000D747501.json
268,62000D747601,长沙,张家界西,../D/62000D747601.json
269,64000D747701,张家界西,长沙,../D/64000D747701.json
270,62000D747801,长沙,张家界西,../D/62000D747801.json
271,47000D60010N,济南,青岛,../D/47000D60010N.json
272,49000D60020H,青岛,济南,../D/49000D60020H.json
273,4p000D600300,济南西,潍坊,../D/4p000D600300.json
274,47000D60050F,济南,青岛,../D/47000D60050F.json
