id,train_code,from_station,to_station,path
1,250000S90108,蓟州北,天津北,../S/250000S90108.json
2,250000S9020I,天津,蓟州北,../S/250000S9020I.json
3,250000S90304,宝坻北,天津北,../S/250000S90304.json
4,250000S90410,天津,蓟州北,../S/250000S90410.json
5,250000S90503,蓟州北,天津北,../S/250000S90503.json
6,250000S90603,天津北,宝坻北,../S/250000S90603.json
7,250000S9070R,蓟州北,天津北,../S/250000S9070R.json
8,250000S9080F,天津北,宝坻北,../S/250000S9080F.json
9,250000S9090J,宝坻北,天津北,../S/250000S9090J.json
10,240000S52101,清河,怀柔北,../S/240000S52101.json
11,240000S52200,怀柔北,清河,../S/240000S52200.json
12,240000S52300,清河,怀柔北,../S/240000S52300.json
13,240000S52401,怀柔北,清河,../S/240000S52401.json
14,250000S91004,天津北,蓟州北,../S/250000S91004.json
15,250000S91109,蓟州北,天津北,../S/250000S91109.json
16,250000S91203,天津北,宝坻北,../S/250000S91203.json
17,250000S9130A,宝坻北,天津北,../S/250000S9130A.json
18,250000S91411,天津北,蓟州北,../S/250000S91411.json
19,250000S91516,蓟州北,天津,../S/250000S91516.json
20,250000S91606,天津北,蓟州北,../S/250000S91606.json
21,250000S91704,蓟州北,天津,../S/250000S91704.json
22,250000S91806,天津北,蓟州北,../S/250000S91806.json
23,6n000S780103,麓谷,株洲南,../S/6n000S780103.json
24,6n000S78020A,株洲南,麓谷,../S/6n000S78020A.json
25,6n000S780306,麓谷,株洲南,../S/6n000S780306.json
26,6n000S780407,株洲南,麓谷,../S/6n000S780407.json
27,6n000S780503,麓谷,株洲南,../S/6n000S780503.json
28,6n000S78060A,株洲南,麓谷,../S/6n000S78060A.json
29,6n000S780702,麓谷,株洲南,../S/6n000S780702.json
30,6n000S780808,株洲南,麓谷,../S/6n000S780808.json
31,6n000S781006,株洲南,麓谷,../S/6n000S781006.json
32,62000S785100,长沙,株洲南,../S/62000S785100.json
33,6n000S785207,株洲南,长沙,../S/6n000S785207.json
34,62000S785305,长沙,株洲南,../S/62000S785305.json
35,6n000S78540A,株洲南,长沙,../S/6n000S78540A.json
36,62000S785501,长沙,株洲南,../S/62000S785501.json
37,6n000S785606,株洲南,长沙,../S/6n000S785606.json
38,62000S785701,长沙,株洲南,../S/62000S785701.json
39,6n000S785804,株洲南,长沙,../S/6n000S785804.json
40,6n000S788104,麓谷,株洲南,../S/6n000S788104.json
41,240000S50109,北京北,古北口,../S/240000S50109.json
42,240000S50206,古北口,北京北,../S/240000S50206.json
43,240000S50308,北京北,古北口,../S/240000S50308.json
44,240000S50409,古北口,北京北,../S/240000S50409.json
45,240000S51102,北京北,怀柔北,../S/240000S51102.json
46,240000S51203,怀柔北,北京北,../S/240000S51203.json
47,240000S51304,北京北,怀柔北,../S/240000S51304.json
48,240000S51403,怀柔北,北京北,../S/240000S51403.json
49,240000S51506,北京北,怀柔北,../S/240000S51506.json
50,240000S51606,怀柔北,北京北,../S/240000S51606.json
51,240000S51704,北京北,怀柔北,../S/240000S51704.json
52,240000S51802,怀柔北,北京北,../S/240000S51802.json
53,62000S79030E,长沙,株洲南,../S/62000S79030E.json
54,62000S790506,长沙,株洲南,../S/62000S790506.json
55,6n000S790608,株洲南,长沙,../S/6n000S790608.json
56,62000S790706,长沙,株洲南,../S/62000S790706.json
57,6n000S79080E,株洲南,长沙,../S/6n000S79080E.json
58,62000S790908,长沙,株洲南,../S/62000S790908.json
59,6n000S791007,株洲南,长沙,../S/6n000S791007.json
60,6n000S791207,株洲南,长沙,../S/6n000S791207.json
61,62000S79130A,长沙,株洲南,../S/62000S79130A.json
62,6n000S791409,株洲南,麓谷,../S/6n000S791409.json
63,62000S79150F,长沙,株洲南,../S/62000S79150F.json
64,6n000S791606,株洲南,长沙,../S/6n000S791606.json
65,6n000S791808,株洲南,麓谷,../S/6n000S791808.json
66,62000S791908,长沙,株洲南,../S/62000S791908.json
67,6n000S792008,株洲南,长沙,../S/6n000S792008.json
68,6n000S792206,株洲南,长沙,../S/6n000S792206.json
69,62000S79230A,长沙,株洲南,../S/62000S79230A.json
70,6n000S792500,麓谷,株洲南,../S/6n000S792500.json
71,6n000S792608,株洲南,麓谷,../S/6n000S792608.json
72,62000S79270B,长沙,株洲南,../S/62000S79270B.json
73,62000S792906,长沙,株洲南,../S/62000S792906.json
74,6n000S793007,株洲南,长沙,../S/6n000S793007.json
75,62000S793106,长沙,株洲南,../S/62000S793106.json
76,6n000S793206,株洲南,长沙,../S/6n000S793206.json
77,62000S793307,长沙,株洲南,../S/62000S793307.json
78,6n000S793407,株洲南,长沙,../S/6n000S793407.json
79,62000S79350A,长沙,株洲南,../S/62000S79350A.json
80,6n000S793606,株洲南,长沙,../S/6n000S793606.json
81,62000S793705,长沙,株洲南,../S/62000S793705.json
82,6n000S79380A,株洲南,麓谷,../S/6n000S79380A.json
