id,train_code,from_station,to_station,path
1,550000T21101,上海南,深圳东,../T/550000T21101.json
2,650000T2120Q,深圳东,上海南,../T/650000T2120Q.json
3,650000T2190A,广州东,合肥,../T/650000T2190A.json
4,2400000T3505,北京,合肥,../T/2400000T3505.json
5,24000000T92E,北京西,重庆西,../T/24000000T92E.json
6,3900000T9507,武昌,深圳东,../T/3900000T9507.json
7,6500000T960D,深圳东,武昌,../T/6500000T960D.json
8,93000T952008,乌鲁木齐,喀什,../T/93000T952008.json
9,94000T952208,喀什,乌鲁木齐,../T/94000T952208.json
10,93000T952607,乌鲁木齐,和田,../T/93000T952607.json
11,94000T95280D,和田,乌鲁木齐,../T/94000T95280D.json
12,94000T953102,喀什,和田,../T/94000T953102.json
13,94000T953203,和田,喀什,../T/94000T953203.json
14,93000T953600,乌鲁木齐,阿克苏,../T/93000T953600.json
15,94000T953800,阿克苏,乌鲁木齐,../T/94000T953800.json
16,93000T95750T,乌鲁木齐,乌苏,../T/93000T95750T.json
17,95000T95760T,乌苏,乌鲁木齐,../T/95000T95760T.json
18,5300000T3602,合肥,北京,../T/5300000T3602.json
19,130000T3690G,大连,广州,../T/130000T3690G.json
20,530000T22107,合肥,广州东,../T/530000T22107.json
21,240000T23110,北京西,西安,../T/240000T23110.json
22,410000T2320G,西安,北京西,../T/410000T2320G.json
23,550000T23601,昆山,重庆西,../T/550000T23601.json
24,770000T2380H,重庆西,昆山,../T/770000T2380H.json
25,630000T37009,广州,大连,../T/630000T37009.json
26,5a0000T37610,温州,襄阳,../T/5a0000T37610.json
27,420000T37804,襄阳,温州,../T/420000T37804.json
28,770000T37903,重庆西,乌鲁木齐,../T/770000T37903.json
29,76000000T80A,成都西,北京西,../T/76000000T80A.json
30,5500000T8180,上海南,南宁,../T/5500000T8180.json
31,7100000T820K,南宁,上海南,../T/7100000T820K.json
32,57000T800907,南昌,泉州,../T/57000T800907.json
33,5n000T801003,泉州,南昌,../T/5n000T801003.json
34,64000T83040M,张家界,广州,../T/64000T83040M.json
35,66000T830503,信宜,广州,../T/66000T830503.json
36,63000T830600,广州,信宜,../T/63000T830600.json
37,65000T83650G,广州东,梅州,../T/65000T83650G.json
38,67000T83670G,梅州,广州东,../T/67000T83670G.json
39,020000T33001,佳木斯,大连,../T/020000T33001.json
40,130000T33104,大连,齐齐哈尔,../T/130000T33104.json
41,940000T27008,喀什,西安,../T/940000T27008.json
42,7100000T260J,南宁,上海南,../T/7100000T260J.json
43,130000T2610P,大连,牡丹江,../T/130000T2610P.json
44,030000T2620J,牡丹江,大连,../T/030000T2620J.json
45,410000T2690F,西安,喀什,../T/410000T2690F.json
46,5e0000T32630,宁波,郑州,../T/5e0000T32630.json
47,380000T3280B,郑州,宁波,../T/380000T3280B.json
48,130000T32903,大连,佳木斯,../T/130000T32903.json
49,530000T242D0,合肥,齐齐哈尔,../T/530000T242D0.json
50,040000T2440K,齐齐哈尔,合肥,../T/040000T2440K.json
51,390000T24630,武昌,西安,../T/390000T24630.json
52,410000T24806,西安,武昌,../T/410000T24806.json
53,120000T30204,沈阳,乌鲁木齐,../T/120000T30204.json
54,930000T30440,乌鲁木齐,沈阳,../T/930000T30440.json
55,570000T30708,鹰潭,乌鲁木齐,../T/570000T30708.json
56,930000T3080B,乌鲁木齐,鹰潭,../T/930000T3080B.json
57,0300000T1808,牡丹江,北京,../T/0300000T1808.json
58,630000T18007,广州,济南,../T/630000T18007.json
59,390000T1820G,武昌,哈尔滨,../T/390000T1820G.json
60,010000T1840L,哈尔滨,武昌,../T/010000T1840L.json
61,380000T1970Q,郑州,乌鲁木齐,../T/380000T1970Q.json
62,930000T1980I,乌鲁木齐,郑州,../T/930000T1980I.json
63,5500000T2508,上海南,南宁,../T/5500000T2508.json
64,250000T2520P,天津,广州,../T/250000T2520P.json
65,630000T2540J,广州,天津,../T/630000T2540J.json
66,4100000T420U,西安,北京西,../T/4100000T420U.json
67,34000T42010D,锡林浩特,包头,../T/34000T42010D.json
68,33000T42020L,包头,锡林浩特,../T/33000T42020L.json
69,39000T421202,武昌,荆门,../T/39000T421202.json
70,42000T421402,宜昌东,武昌,../T/42000T421402.json
71,24000T56870P,北京,秦皇岛,../T/24000T56870P.json
72,25000T56880X,秦皇岛,北京,../T/25000T56880X.json
73,2400000T4115,北京西,西安,../T/2400000T4115.json
74,4200000T500G,宜昌东,北京西,../T/4200000T500G.json
75,7100000T780J,南宁,上海南,../T/7100000T780J.json
76,2400000T472V,北京,齐齐哈尔,../T/2400000T472V.json
77,11000T530102,长春,榆树,../T/11000T530102.json
78,11000T530206,榆树,长春,../T/11000T530206.json
79,11000T530306,长春,榆树,../T/11000T530306.json
80,11000T530602,榆树,长春,../T/11000T530602.json
81,5500000T7704,上海南,南宁,../T/5500000T7704.json
82,5f000T777503,盐城,南京,../T/5f000T777503.json
83,54000T777631,南京,盐城,../T/54000T777631.json
84,56000T778541,杭州,兰溪,../T/56000T778541.json
85,56000T7786L1,兰溪,杭州,../T/56000T7786L1.json
86,0400000T480F,齐齐哈尔,北京,../T/0400000T480F.json
87,47000T757609,济南,菏泽,../T/47000T757609.json
88,47000T757809,菏泽,济南,../T/47000T757809.json
89,2400000T490S,北京西,宜昌东,../T/2400000T490S.json
90,2500000T580L,天津,宝鸡,../T/2500000T580L.json
91,710000T58201,南宁,宁波,../T/710000T58201.json
92,4a000T700905,榆林,宝鸡,../T/4a000T700905.json
93,41000T701006,宝鸡,榆林,../T/41000T701006.json
94,85000T660101,兰州,嘉峪关,../T/85000T660101.json
95,86000T660202,嘉峪关,兰州,../T/86000T660202.json
96,85000T660700,甘谷,兰州,../T/85000T660700.json
97,85000T660800,兰州,甘谷,../T/85000T660800.json
98,85000T661312,兰州,金昌,../T/85000T661312.json
99,86000T661413,金昌,兰州,../T/86000T661413.json
100,930000T38006,乌鲁木齐,重庆西,../T/930000T38006.json
101,550000T38170,上海南,昆明,../T/550000T38170.json
102,800000T3820Q,昆明,上海南,../T/800000T3820Q.json
103,490000T3960H,青岛北,深圳,../T/490000T3960H.json
104,650000T3980G,深圳,青岛北,../T/650000T3980G.json
105,240000T2890U,北京西,南宁,../T/240000T2890U.json
106,5f0000T14200,启东,郑州,../T/5f0000T14200.json
107,380000T14400,郑州,启东,../T/380000T14400.json
108,240000T14524,北京西,南昌,../T/240000T14524.json
109,570000T1470S,南昌,北京西,../T/570000T1470S.json
110,540000T15131,南京,广州,../T/540000T15131.json
111,630000T15207,广州,南京,../T/630000T15207.json
112,710000T2900A,南宁,北京西,../T/710000T2900A.json
113,240000T2971B,北京,牡丹江,../T/240000T2971B.json
114,030000T2980I,牡丹江,北京,../T/030000T2980I.json
115,630000T1700T,广州,上海南,../T/630000T1700T.json
116,570000T17150,南昌,广州,../T/570000T17150.json
117,630000T17200,广州,南昌,../T/630000T17200.json
118,240000T1750Z,北京西,西宁,../T/240000T1750Z.json
119,880000T17609,西宁,北京西,../T/880000T17609.json
120,470000T1790F,济南,广州,../T/470000T1790F.json
121,240000T1671I,北京西,南昌,../T/240000T1671I.json
122,570000T1680O,南昌,北京西,../T/570000T1680O.json
123,550000T16960,上海南,广州,../T/550000T16960.json
124,7700000T100A,重庆西,北京西,../T/7700000T100A.json
125,550000T10180,上海南,深圳,../T/550000T10180.json
126,650000T1020L,深圳,上海南,../T/650000T1020L.json
127,240000T10916,北京,上海,../T/240000T10916.json
128,550000T11071,上海,北京,../T/550000T11071.json
129,560000T11260,杭州,兰州,../T/560000T11260.json
130,850000T11487,兰州,杭州,../T/850000T11487.json
131,550000T11690,上海,兰州,../T/550000T11690.json
132,850000T11853,兰州,上海,../T/850000T11853.json
133,110000T1220L,长春,广州,../T/110000T1220L.json
134,630000T1240H,广州,长春,../T/630000T1240H.json
135,670000T1280O,东莞东,成都西,../T/670000T1280O.json
136,130000T1290N,大连,齐齐哈尔,../T/130000T1290N.json
137,040000T1300S,齐齐哈尔,大连,../T/040000T1300S.json
138,130000T13114,大连,上海,../T/130000T13114.json
139,550000T13200,上海,大连,../T/550000T13200.json
140,470000T1350C,济南,宁波,../T/470000T1350C.json
141,5e0000T13630,宁波,济南,../T/5e0000T13630.json
142,24000000T723,北京西,成都西,../T/24000000T723.json
