id,train_code,from_station,to_station,path
1,7100000Y6030,湛江,株洲,../Y/7100000Y6030.json
2,390000Y58110,武昌,咸宁,../Y/390000Y58110.json
3,850000Y667C0,兰州,敦煌,../Y/850000Y667C0.json
4,8b0000Y66911,敦煌,兰州,../Y/8b0000Y66911.json
5,040000Y68410,漠河,哈尔滨西,../Y/040000Y68410.json
6,5k0000Y70130,上海西,嘉兴,../Y/5k0000Y70130.json
7,560000Y70230,嘉兴,上海西,../Y/560000Y70230.json
8,800000Y75202,昆明,丽江,../Y/800000Y75202.json
9,8c0000Y75406,丽江,昆明,../Y/8c0000Y75406.json
10,8c0000Y76106,大理,丽江,../Y/8c0000Y76106.json
11,8c0000Y76207,丽江,大理,../Y/8c0000Y76207.json
12,930000Y96502,乌鲁木齐,富蕴,../Y/930000Y96502.json
13,910000Y96702,富蕴,乌鲁木齐,../Y/910000Y96702.json
